BioWare Version 5.4.9.0 Export
Device:	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA
Samples (#):	6000	6000	6000	6000	6000	6000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2749	2749	2749	0	0	0
Contact period end (sample #):	4741	4741	4741	3520	3520	3520
Contact period start time (s):	2.749000	2.749000	2.749000	0.000000	0.000000	0.000000
Contact period end time (s):	4.741000	4.741000	4.741000	3.520000	3.520000	3.520000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 23, 2024  11:27:10
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.150000	0.192174	0.210168	2.252503	-2.741784	-4.602108	654.603605
0.151000	0.077734	0.210168	2.729867	-2.741784	-4.449520	654.759121
0.152000	0.230321	0.095727	1.151022	-2.589196	-4.602108	655.393425
0.153000	0.268468	0.362756	0.836574	-2.703637	-4.602108	654.596437
0.154000	0.306615	0.133874	1.623951	-3.046960	-4.563961	654.905877
0.155000	0.268468	0.057580	1.788729	-3.046960	-4.640255	656.487019
0.156000	0.039586	-0.095007	1.776162	-3.123254	-4.296932	655.852664
0.157000	0.115880	0.286462	1.467260	-3.008813	-4.220638	655.693717
0.158000	0.077734	0.400903	2.410156	-3.161401	-4.373226	656.330625
0.159000	0.192174	0.095727	2.101766	-3.237695	-4.449520	656.811678
0.160000	0.230321	0.400903	2.408683	-3.161401	-4.411373	657.276793
0.161000	0.039586	0.057580	1.623709	-3.352136	-4.296932	657.122213
0.162000	0.421056	0.095727	2.724770	-3.275842	-4.220638	657.751968
0.163000	0.154027	0.057580	1.296274	-3.466576	-4.258785	658.226684
0.164000	0.154027	0.515344	1.300302	-3.313989	-4.068051	658.067738
0.165000	0.268468	0.324609	2.718458	-3.542870	-4.258785	657.437167
0.166000	0.192174	0.286462	1.624898	-3.809899	-4.182491	657.129879
0.167000	0.077733	0.210168	1.311245	-3.619164	-4.068051	658.382654
0.168000	0.268468	0.515344	1.946366	-3.848046	-4.144345	658.225399
0.169000	0.154027	0.133874	0.987311	-3.695458	-4.144345	658.699563
0.170000	-0.036708	0.133874	2.251226	-4.115075	-4.106198	658.383990
0.171000	0.268468	0.248315	1.462856	-3.695458	-4.029904	657.606966
0.172000	0.230321	0.210168	2.253811	-4.000634	-4.144345	657.124781
0.173000	0.230321	0.362756	2.570575	-4.229516	-3.991757	658.384760
0.174000	0.230321	0.286462	1.314823	-4.038781	-3.991757	659.492162
0.175000	0.344762	0.210168	1.934161	-4.191369	-4.182491	658.071114
0.176000	0.077733	0.324609	1.614797	-4.305810	-4.068051	659.331124
0.177000	0.306615	-0.056860	0.832154	-4.496545	-4.144345	659.958440
0.178000	0.306615	0.286462	1.777801	-4.305810	-4.068051	659.011723
0.179000	0.268468	0.477197	1.150495	-4.420251	-4.373226	659.643003
0.180000	0.230321	0.057580	1.939362	-4.267663	-4.106198	659.330278
0.181000	0.230321	0.362756	0.990769	-4.191369	-4.029904	659.961311
0.182000	0.230321	0.324609	1.625694	-4.382104	-4.106198	660.600183
0.183000	0.268468	0.286462	1.148872	-4.305810	-4.220638	661.535489
0.184000	0.154027	0.248315	3.030818	-4.229516	-4.296932	660.749559
0.185000	0.306615	0.362756	2.256111	-4.076928	-4.563961	660.284760
0.186000	0.154027	0.210168	0.989446	-4.267663	-4.258785	660.273689
0.187000	0.230321	0.057580	1.927772	-4.420251	-4.258785	661.052963
0.188000	0.382909	0.286462	2.411691	-4.382104	-4.220638	659.957097
0.189000	0.077733	0.248315	1.458617	-4.572839	-4.220638	661.377358
