BioWare Version 5.4.9.0 Export
Device:	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA
Samples (#):	6000	6000	6000	6000	6000	6000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2573	2573	2573	0	0	0
Contact period end (sample #):	5587	5587	5587	3448	3448	3448
Contact period start time (s):	2.573000	2.573000	2.573000	0.000000	0.000000	0.000000
Contact period end time (s):	5.587000	5.587000	5.587000	3.448000	3.448000	3.448000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 23, 2024  11:27:31
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.156000	0.141312	0.238719	1.961184	0.386508	-4.272222	649.528194
0.157000	0.065018	0.391306	2.275798	0.272067	-4.310369	649.687781
0.158000	0.141312	0.315012	1.651770	-0.071256	-4.234075	648.425679
0.159000	0.217606	0.086131	1.804657	0.005038	-4.157781	648.423390
0.160000	0.255753	0.315012	0.539015	-0.109403	-4.081487	648.741765
0.161000	0.103165	0.162425	3.060260	-0.185697	-4.119634	650.164770
0.162000	0.332047	0.238719	1.485820	-0.147550	-3.814458	649.683733
0.163000	0.217606	0.047984	1.330074	-0.490872	-3.890752	647.957626
0.164000	0.103165	0.162425	0.536353	-0.529019	-3.623723	649.370872
0.165000	0.217606	0.162425	2.751162	-0.605313	-3.661870	647.480789
0.166000	0.332047	0.200572	1.963603	-0.796048	-3.776311	649.850481
0.167000	0.332047	0.238719	0.856410	-0.796048	-3.738164	648.427787
0.168000	0.026871	0.391306	2.276144	-0.872342	-3.738164	648.584459
0.169000	0.332047	0.238719	1.481581	-0.796048	-3.471135	647.167315
0.170000	0.179459	0.238719	1.802072	-0.605313	-3.700017	648.426479
0.171000	0.103165	0.162425	2.427408	-1.063077	-3.776311	647.490237
0.172000	-0.011276	0.353159	2.279525	-1.024930	-3.738164	646.855451
0.173000	0.065018	0.391306	1.321673	-1.139371	-3.738164	646.698114
0.174000	0.179459	0.162425	0.850533	-1.215665	-3.661870	645.587473
0.175000	0.065018	0.124278	2.436382	-1.291959	-3.890752	646.221813
0.176000	0.179459	0.276865	1.645381	-1.406400	-3.738164	645.921996
0.177000	0.255753	0.009837	1.952706	-1.482694	-4.005193	646.063201
0.178000	-0.202011	0.315012	2.277256	-1.597135	-4.310369	646.383698
0.179000	0.217606	0.353159	1.485985	-1.711576	-4.195928	646.065481
0.180000	0.332047	-0.104604	1.020045	-1.902310	-4.119634	645.439940
0.181000	0.255753	0.200572	0.850202	-2.054898	-4.272222	644.805290
0.182000	0.179459	0.315012	2.589300	-1.864163	-4.501103	644.171531
0.183000	-0.011276	0.162425	0.853299	-2.169339	-4.424809	643.550854
0.184000	0.293900	0.086131	2.429212	-2.436368	-4.539250	642.750937
0.185000	0.179459	0.200572	1.337937	-2.436368	-4.768132	641.654471
0.186000	0.332047	0.276865	1.966399	-2.588955	-4.768132	641.337229
0.187000	0.103165	0.009837	2.271905	-2.970425	-4.920720	641.965362
0.188000	0.179459	0.124278	1.012860	-3.123013	-5.073308	639.909196
0.189000	0.179459	0.086131	1.803184	-3.199307	-5.225896	639.443770
0.190000	0.141312	0.315012	1.643623	-3.504483	-5.264043	636.614371
0.191000	0.141312	0.315012	1.647531	-3.618924	-5.492925	637.077236
0.192000	0.065018	0.047984	1.167297	-3.618924	-5.531072	636.613934
0.193000	-0.087570	0.047984	1.797999	-3.885952	-5.416631	634.558733
0.194000	-0.011276	0.047984	3.534781	-4.076687	-5.721807	632.510868
0.195000	0.255753	0.124278	1.171986	-4.076687	-5.874394	632.667396
0.196000	0.179459	0.276865	0.852606	-4.191128	-6.141423	629.356122
0.197000	-0.011276	0.086131	2.278398	-4.305569	-6.065129	627.944205
0.198000	0.293900	0.276865	0.694007	-4.572598	-6.332158	626.996098
0.199000	0.141312	0.124278	1.329459	-4.534451	-6.294011	626.826947
0.200000	0.026871	0.124278	1.009359	-4.763333	-6.751775	623.834199
0.201000	0.332047	0.124278	2.279871	-4.915921	-6.904363	625.091308
0.202000	0.293900	0.124278	0.694849	-5.030362	-6.980657	623.517524
0.203000	0.217606	0.162425	1.641127	-4.687039	-7.018804	623.184994
0.204000	0.179459	0.086131	1.644088	-4.687039	-7.362126	621.147226
0.205000	0.065018	0.238719	1.019249	-4.496304	-7.362126	620.820897
0.206000	0.293900	0.162425	1.489712	-4.305569	-7.247685	623.660584
0.207000	0.065018	0.047984	1.955983	-3.657071	-7.362126	623.964502
0.208000	0.026871	0.047984	1.483385	-2.894131	-7.285832	625.052733
0.209000	0.370194	0.047984	0.380235	-1.864163	-7.247685	626.461908
0.210000	-0.011276	0.162425	1.637745	-1.024930	-6.942510	627.542375
0.211000	0.179459	0.162425	1.951248	0.157626	-6.484746	631.158525
0.212000	0.179459	-0.104604	2.278910	0.920566	-6.217717	632.722574
0.213000	0.332047	0.238719	0.864377	1.836093	-5.874394	634.605852
0.214000	0.179459	0.162425	2.432474	2.713473	-5.378484	636.800005
0.215000	0.255753	0.162425	2.742518	3.018649	-5.340337	639.465427
0.216000	0.293900	0.315012	2.122999	3.552706	-5.416631	639.941426
0.217000	0.217606	0.200572	1.961634	3.323825	-5.187749	644.823284
0.218000	0.179459	0.429453	1.488074	3.514560	-5.187749	646.398526
0.219000	0.103165	-0.066457	1.960853	3.705294	-5.225896	647.971057
0.220000	0.217606	0.276865	2.436397	3.667147	-5.225896	649.239949
0.221000	0.217606	0.086131	1.805454	4.048617	-5.149602	651.755566
0.222000	-0.049423	0.353159	1.332736	4.735262	-5.035161	655.526450
0.223000	0.293900	0.124278	1.958237	5.231173	-4.768132	656.146756
0.224000	0.217606	0.200572	1.495590	5.650790	-4.539250	657.561294
0.225000	0.217606	0.162425	1.962657	6.375582	-4.386662	660.225945
0.226000	0.103165	0.353159	1.488570	7.138522	-4.424809	660.380306
0.227000	0.065018	0.238719	2.434563	7.214816	-4.310368	663.841448
0.228000	0.179459	0.276865	2.593689	7.710726	-4.386662	663.526162
0.229000	0.141312	0.276865	1.485970	7.748873	-4.501102	666.197756
0.230000	0.408341	0.276865	1.964295	7.901461	-4.272221	667.940594
0.231000	0.217606	0.200572	2.111155	8.092196	-4.348515	668.730072
0.232000	0.065018	0.200572	1.961530	7.977755	-4.195927	669.190309
0.233000	0.255753	0.124278	1.964130	8.015902	-4.157780	670.151596
0.234000	0.293900	0.200572	1.962145	8.130343	-3.967045	670.465084
0.235000	0.179459	0.238719	1.168259	8.168490	-4.157780	673.125991
0.236000	0.179459	0.200572	2.593704	8.168490	-3.928898	673.612556
0.237000	0.141312	0.276865	4.013422	8.168490	-4.119633	675.032622
0.238000	0.141312	0.047984	2.918254	8.282931	-4.234074	675.037019
0.239000	0.217606	0.276865	2.590412	8.397372	-4.310368	673.927321
0.240000	-0.011276	0.124278	3.379505	7.939608	-4.348515	675.347243
0.241000	0.255753	0.200572	2.599236	7.748873	-4.501102	676.142615
0.242000	0.332047	0.315012	2.278398	7.519991	-4.615543	674.567598
0.243000	0.103165	0.162425	1.965422	7.558138	-4.577396	674.416968
0.244000	0.141312	0.391306	2.110870	7.214816	-4.653690	675.366241
0.245000	0.255753	0.124278	1.958133	6.909640	-4.653690	675.059572
0.246000	0.065018	0.391306	0.382158	6.985934	-4.729984	675.368008
0.247000	0.179459	0.124278	1.164351	6.985934	-4.920720	673.787696
0.248000	0.255753	0.276865	2.119964	6.757052	-4.844426	675.369148
0.249000	0.026871	0.353159	1.646058	6.413729	-4.844426	674.591671
0.250000	0.026871	0.238719	1.172994	6.413729	-4.997014	673.805869
0.251000	0.179459	0.009837	1.644419	6.108553	-5.073308	673.334063
0.252000	0.217606	0.276865	1.484408	5.727084	-4.958867	672.864681
0.253000	0.370194	0.124278	2.584896	5.231173	-5.073308	673.654862
0.254000	0.103165	0.162425	2.279871	5.154879	-5.187749	672.724761
0.255000	0.065018	0.391306	2.435705	4.430087	-5.264043	672.414204
0.256000	0.179459	0.505747	2.587211	4.086764	-5.531072	671.624030
0.257000	0.408341	0.429453	2.275017	3.629001	-5.492925	671.311629
0.258000	0.103165	0.124278	2.275632	3.209384	-5.607366	670.696179
0.259000	0.446488	0.391306	2.429724	2.866061	-5.798100	670.373281
0.260000	0.217606	0.467600	1.015114	2.637179	-6.103276	670.390977
0.261000	0.065018	0.200572	2.117364	2.370151	-6.179570	670.861924
0.262000	0.217606	0.200572	2.442260	2.064975	-5.836247	670.084461
0.263000	0.446488	0.276865	1.325385	1.607211	-6.103276	668.836815
0.264000	0.026871	0.467600	2.749373	1.530917	-6.179570	668.201697
0.265000	0.217606	0.238719	1.952871	1.149447	-6.370305	668.199575
0.266000	0.103165	0.315012	2.915939	0.767978	-5.950688	667.895181
0.267000	0.332047	0.162425	2.116356	0.462802	-6.179570	667.581987
0.268000	-0.011276	0.276865	2.587992	0.310214	-6.141423	666.958055
0.269000	0.179459	0.620188	1.645427	-0.033109	-6.217717	666.802516
0.270000	0.293900	0.238719	1.638722	-0.338284	-6.026982	665.063592
0.271000	0.255753	0.353159	2.123241	-0.567166	-5.874394	665.383893
0.272000	0.103165	0.276865	2.116071	-1.024930	-6.026982	665.232598
0.273000	0.065018	0.276865	1.798510	-1.291959	-5.912541	666.340331
0.274000	0.103165	0.200572	1.803034	-1.673429	-5.836247	664.295503
0.275000	0.141312	0.124278	1.165493	-1.635282	-5.912541	665.874998
0.276000	0.065018	0.200572	1.327039	-1.826016	-5.721807	663.984568
0.277000	0.065018	0.162425	3.220844	-2.169339	-5.798100	664.307339
0.278000	0.065018	0.200572	1.327355	-2.474514	-5.798100	664.308819
0.279000	0.217606	0.200572	1.169205	-2.665249	-5.912541	664.001155
0.280000	0.141312	0.124278	0.379393	-2.970425	-5.950688	664.481421
0.281000	0.293900	0.315012	2.263277	-2.970425	-5.607366	663.839936
0.282000	0.103165	0.353159	1.965588	-3.199307	-5.950688	664.012205
0.283000	0.217606	0.276865	2.118941	-3.275601	-5.950688	664.167548
0.284000	0.103165	-0.028310	1.003601	-3.504483	-5.759953	664.168545
0.285000	0.026871	0.124278	2.583753	-3.695218	-5.912541	664.480546
0.286000	0.103165	0.162425	2.118656	-3.733365	-5.874394	663.393175
0.287000	-0.049423	0.200572	1.481746	-3.695218	-5.721807	663.683227
0.288000	0.103165	0.047984	2.271559	-4.000393	-5.721807	663.382450
0.289000	0.103165	0.315012	1.642781	-3.885952	-5.721807	664.800198
